,total discharge (t)  end B
2020/3/31 0:00,-5.24454
2020/3/31 0:10,-5.51357
2020/3/31 0:20,-5.802258
2020/3/31 0:30,-6.178733
2020/3/31 0:40,-6.445315
2020/3/31 0:50,-6.648874
2020/3/31 1:00,-6.862801
2020/3/31 1:10,-6.932678
2020/3/31 1:20,-7.006654
2020/3/31 1:30,-7.098943
2020/3/31 1:40,-7.220701
2020/3/31 1:50,-6.052164
2020/3/31 2:00,-6.172246
2020/3/31 2:10,-6.245684
2020/3/31 2:20,-6.20253
2020/3/31 2:30,-6.106355
2020/3/31 2:40,-6.087828
2020/3/31 2:50,-5.987762
2020/3/31 3:00,-5.891958
2020/3/31 3:10,-5.847532
2020/3/31 3:20,-5.762928
2020/3/31 3:30,-5.649352
2020/3/31 3:40,-5.172139
2020/3/31 3:50,-4.560206
2020/3/31 4:00,-3.842554
2020/3/31 4:10,-3.13367
2020/3/31 4:20,-2.747191
2020/3/31 4:30,-1.700408
2020/3/31 4:40,-0.6689748
2020/3/31 4:50,0.2872257
2020/3/31 5:00,1.23075
2020/3/31 5:10,3.553622
2020/3/31 5:20,3.788605
2020/3/31 5:30,3.947687
2020/3/31 5:40,3.99712
2020/3/31 5:50,4.135358
2020/3/31 6:00,4.203058
2020/3/31 6:10,4.411226
2020/3/31 6:20,4.562214
2020/3/31 6:30,4.791402
2020/3/31 6:40,4.952126
2020/3/31 6:50,5.398005
2020/3/31 7:00,5.454723
2020/3/31 7:10,5.651408
2020/3/31 7:20,5.694322
2020/3/31 7:30,5.673262
2020/3/31 7:40,5.585755
2020/3/31 7:50,5.45988
2020/3/31 8:00,5.291216
2020/3/31 8:10,5.16359
2020/3/31 8:20,5.087704
2020/3/31 8:30,4.995741
2020/3/31 8:40,4.678038
2020/3/31 8:50,4.269345
2020/3/31 9:00,4.969043
2020/3/31 9:10,4.680331
2020/3/31 9:20,-4.409238
2020/3/31 9:30,-3.78917
2020/3/31 9:40,-2.96255
2020/3/31 9:50,-1.902731
2020/3/31 10:00,-0.326735
2020/3/31 10:10,-2.118752
2020/3/31 10:20,-4.31559
2020/3/31 10:30,-5.837751
2020/3/31 10:40,-6.789994
